rut,contraseña,cargo,cine
18124548,lrt2021,empleado,vina_del_mar
19985784,qst2021,empleado,vina_del_mar
20123423,wst2021,empleado,quilpue
20272418,yav2021,empleado,quilpue
20603557,cami2000,empleado,santiago
20603522,sdf000,empleado,santiago
21231423,qwt2021,administrador_local,vina_del_mar
21231234,hgv2021,administrador_global,vina_del_mar
19312523,rst2021,administrador_local,quilpue
20312523,ppp2021,administrador_global,quilpue
16324522,glo2021,administrador_global,santiago
17324511,vgs2021,administrador_local,santiago
